var_a,var_b,presence,mark_frac,arrow_at_b_frac,arrow_at_a_frac,undirected_frac,consensus_mark,consensus
COLOR_U_R,ELPETRO_ABSMAG_R,1.0,1.0,1.0,0.0,0.0,-->,COLOR_U_R --> ELPETRO_ABSMAG_R
COLOR_U_R,ELPETRO_B300,1.0,1.0,0.0,0.0,1.0,o-o,COLOR_U_R o-o ELPETRO_B300
COLOR_U_R,ELPETRO_METS,1.0,1.0,0.0,0.0,1.0,o-o,COLOR_U_R o-o ELPETRO_METS
COLOR_U_R,ELPETRO_MTOL,1.0,1.0,0.0,0.0,1.0,o-o,COLOR_U_R o-o ELPETRO_MTOL
ELPETRO_ABSMAG_R,ELPETRO_MASS,1.0,1.0,1.0,0.0,0.0,-->,ELPETRO_ABSMAG_R --> ELPETRO_MASS
ELPETRO_ABSMAG_R,ELPETRO_BA,1.0,1.0,0.0,1.0,0.0,<-o,ELPETRO_ABSMAG_R <-o ELPETRO_BA
ELPETRO_B300,ELPETRO_METS,1.0,1.0,0.0,0.0,1.0,o-o,ELPETRO_B300 o-o ELPETRO_METS
ELPETRO_METS,ELPETRO_MTOL,1.0,1.0,0.0,0.0,1.0,o-o,ELPETRO_METS o-o ELPETRO_MTOL
ELPETRO_B300,ELPETRO_MTOL,1.0,1.0,0.0,0.0,1.0,o-o,ELPETRO_B300 o-o ELPETRO_MTOL
ELPETRO_MASS,ELPETRO_MTOL,1.0,1.0,0.0,1.0,0.0,<--,ELPETRO_MASS <-- ELPETRO_MTOL
ELPETRO_ABSMAG_R,ELPETRO_TH50_R,1.0,1.0,0.0,1.0,0.0,<--,ELPETRO_ABSMAG_R <-- ELPETRO_TH50_R
ELPETRO_BA,ELPETRO_TH50_R,1.0,1.0,0.0,0.0,1.0,o-o,ELPETRO_BA o-o ELPETRO_TH50_R
ELPETRO_TH50_R,SERSIC_N,1.0,1.0,0.0,0.0,1.0,o-o,ELPETRO_TH50_R o-o SERSIC_N
COLOR_U_R,SERSIC_N,1.0,1.0,0.0,0.0,1.0,o-o,COLOR_U_R o-o SERSIC_N
ELPETRO_ABSMAG_R,ZDIST,1.0,1.0,0.0,1.0,0.0,<-o,ELPETRO_ABSMAG_R <-o ZDIST
ELPETRO_TH50_R,ZDIST,1.0,1.0,0.0,0.0,1.0,o-o,ELPETRO_TH50_R o-o ZDIST
