var_a,var_b,presence,mark_frac,arrow_at_b_frac,arrow_at_a_frac,undirected_frac,consensus_mark,consensus
BARYONIC_MASS,GAS_MASS,1.0,1.0,0.0,0.0,1.0,o-o,BARYONIC_MASS o-o GAS_MASS
PHOTOMETRIC_R,SFR,1.0,1.0,1.0,0.0,0.0,-->,PHOTOMETRIC_R --> SFR
STELLAR_MASS,VEL_DISP,1.0,1.0,1.0,0.0,0.0,-->,STELLAR_MASS --> VEL_DISP
STAR_METALLICITY,STELLAR_MASS,1.0,1.0,0.0,0.0,1.0,o-o,STAR_METALLICITY o-o STELLAR_MASS
HALFMASS_RAD,STELLAR_MASS,1.0,1.0,0.0,0.0,1.0,o-o,HALFMASS_RAD o-o STELLAR_MASS
GAS_MASS,STELLAR_MASS,1.0,1.0,0.0,0.0,1.0,o-o,GAS_MASS o-o STELLAR_MASS
DM_MASS,STELLAR_MASS,1.0,1.0,0.0,0.0,1.0,o-o,DM_MASS o-o STELLAR_MASS
BARYONIC_MASS,STELLAR_MASS,1.0,1.0,0.0,0.0,1.0,o-o,BARYONIC_MASS o-o STELLAR_MASS
STAR_METALLICITY,VMAX,1.0,1.0,1.0,0.0,0.0,-->,STAR_METALLICITY --> VMAX
GAS_METALLICITY,STAR_METALLICITY,1.0,1.0,0.0,0.0,1.0,o-o,GAS_METALLICITY o-o STAR_METALLICITY
GAS_MASS,STAR_METALLICITY,1.0,1.0,0.0,0.0,1.0,o-o,GAS_MASS o-o STAR_METALLICITY
BH_MASS,STAR_METALLICITY,1.0,1.0,0.0,0.0,1.0,o-o,BH_MASS o-o STAR_METALLICITY
BARYONIC_MASS,STAR_METALLICITY,1.0,1.0,0.0,0.0,1.0,o-o,BARYONIC_MASS o-o STAR_METALLICITY
PHOTOMETRIC_U,VEL_DISP,1.0,1.0,1.0,0.0,0.0,-->,PHOTOMETRIC_U --> VEL_DISP
PHOTOMETRIC_U,SFR,1.0,1.0,1.0,0.0,0.0,-->,PHOTOMETRIC_U --> SFR
PHOTOMETRIC_R,PHOTOMETRIC_U,1.0,1.0,0.0,0.0,1.0,o-o,PHOTOMETRIC_R o-o PHOTOMETRIC_U
HALFMASS_RAD,VEL_DISP,1.0,1.0,1.0,0.0,0.0,o->,HALFMASS_RAD o-> VEL_DISP
BARYONIC_MASS,HALFMASS_RAD,1.0,1.0,0.0,0.0,1.0,o-o,BARYONIC_MASS o-o HALFMASS_RAD
GAS_MASS,VEL_DISP,1.0,1.0,1.0,0.0,0.0,-->,GAS_MASS --> VEL_DISP
GAS_MASS,SFR,1.0,1.0,1.0,0.0,0.0,-->,GAS_MASS --> SFR
GAS_MASS,PHOTOMETRIC_U,1.0,1.0,1.0,0.0,0.0,-->,GAS_MASS --> PHOTOMETRIC_U
GAS_MASS,PHOTOMETRIC_R,1.0,1.0,1.0,0.0,0.0,-->,GAS_MASS --> PHOTOMETRIC_R
GAS_MASS,HALFMASS_RAD,1.0,1.0,0.0,0.0,1.0,o-o,GAS_MASS o-o HALFMASS_RAD
BH_MASS,GAS_MASS,1.0,1.0,0.0,0.0,1.0,o-o,BH_MASS o-o GAS_MASS
COLOUR,STELLAR_MASS,1.0,1.0,0.0,0.0,1.0,o-o,COLOUR o-o STELLAR_MASS
COLOUR,PHOTOMETRIC_U,1.0,1.0,1.0,0.0,0.0,-->,COLOUR --> PHOTOMETRIC_U
COLOUR,PHOTOMETRIC_R,1.0,1.0,1.0,0.0,0.0,-->,COLOUR --> PHOTOMETRIC_R
COLOUR,DM_MASS,1.0,1.0,0.0,0.0,1.0,o-o,COLOUR o-o DM_MASS
BH_MASS,VMAX,1.0,1.0,1.0,0.0,0.0,-->,BH_MASS --> VMAX
BH_MASS,VEL_DISP,1.0,1.0,1.0,0.0,0.0,-->,BH_MASS --> VEL_DISP
BARYONIC_MASS,VMAX,1.0,1.0,1.0,0.0,0.0,-->,BARYONIC_MASS --> VMAX
BARYONIC_MASS,VEL_DISP,1.0,1.0,1.0,0.0,0.0,-->,BARYONIC_MASS --> VEL_DISP
VEL_DISP,VMAX,1.0,1.0,1.0,0.0,0.0,-->,VEL_DISP --> VMAX
